Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Perspective,Main Category,Extra Descriptors,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Forza Horizon 4,91,92,-1,90%,"PC, XB1",PC,2018,2018,2019,41,Extra,,Yes,Microsoft,Playground games,Forza,Vehicle,Racing,"Simcade, open-world",,,,
Rayman Legends,91,90,1,90%,"WiiU, PS3, X360",PS4,2013,2014,,31,Extra,1,No,Ubisoft,Ubisoft Montpellier,Rayman,2D,Platformer,,,90,2014,
Uncharted 3 Drake's Deception,91,92,-1,90%,PS3,PS3,2011,2011,2015,32,Finished,2,No,Sony,Naughty Dog,Uncharted,Third person,Cover-shooter,"Story-driven, linear, puzzles, platforming",,,,
Assassin's Creed Brotherhood,91,90,1,90%,"PS3, X360",PS3,2010,2011,,60,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Stealth,"Open-world, platforming, story-driven",,,,
Call of Duty Modern Warfare 2,91,94,-3,90%,"PS3, X360, PC",PS3,2009,2011,"2015, 2020",70,Extra,2,No,Activision-Blizzard,Infinity Ward,Call of Duty,First person,Shooter,"Action, multiplayer, linear",,,,
Pokemon SoulSilver,91,87,4,90%,DS,DS,2009,2009,,40,Extra,2,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based, remake",,,,
Grand Theft Auto San Andreas,91,95,-4,90%,PS2,PS2,2004,2006,2019,25,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,Third person,Action-adventure,"Open-world, sandbox",,,,
Final Fantasy VII Rebirth,90,92,-2,87%,PS5,PS5,2024,2024,,74,Extra,1,No,Square Enix,Square Enix,Final Fantasy,Third person,Action-RPG,Open-world,,,,
Metroid Fusion,90,92,-2,87%,GBA,Switch,2001,2023,,6,Finished,1,Yes,Nintendo,Nintendo,Metroid,2D,Metroidvania,"Platformer, action",,,,
Super Mario World,90,94,-4,87%,SNES,Switch,1991,2023,,5,Finished,1,Yes,Nintendo,Nintendo,Super Mario (2D),2D,Platformer,,,,,
Mass Effect,90,91,-1,87%,X360,XBS,2007,2022,,18,Finished,1,Yes,EA,BioWare,Mass Effect,Third person,Action-RPG,"Cover-shooter, story-driven",,87,2021,
Halo Reach,90,91,-1,87%,X360,PC,2010,2021,,10,Finished,1,No,Microsoft,Bungie,Halo,First person,Shooter,"Action, linear, multiplayer",,,,
Psychonauts,90,87,3,87%,PC,PC,2005,2021,,11,Finished,1,No,Indie,Double Fine,Psychonauts,Third person,Platformer,Puzzles,,,,
Astro's Playroom,90,84,6,87%,PS5,PS5,2020,2020,,6,One-hundred,2,No,Sony,Asobi Team,Astro Bot,Third person,Platformer,,,,,
Demon's Souls (Remake),90,92,-2,87%,PS5,PS5,2020,2020,,19,Finished,1,No,Sony,Bluepoint Games,Souls,Third person,Soulslike,"Action-RPG, remake",,,,From Software
Star Wars Jedi Fallen Order,90,85,5,87%,"PS4,XB1,PC",PS4,2019,2019,,28,One-hundred,1,No,EA,Respawn,Star Wars,Third person,Action-adventure,"Soulslike, platforming, exploration, story-driven, metroidvania",,,,
Call of Duty Modern Warfare,90,94,-4,87%,PS3,PS4,2007,2016,,8,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,First person,Shooter,"Action, linear, multiplayer",,,,
Rocket League,90,85,5,87%,PS4,PS4,2015,2015,"2016, 2017, 2018, 2019, 2020, 2022, 2023",571,One-hundred,,Yes,Indie,Psyonix,Rocket League,Vehicle,Sports,Multiplayer,,,,
Super Smash Bros. Brawl,90,93,-3,87%,Wii,Wii,2008,2008,2009,60,Finished,1,No,Nintendo,Sora ltd.,Super Smash Bros.,2D,Fighting,Platforming,,,,
Football Manager 2007,90,87,3,87%,PC,PC,2006,2007,2008,60,Finished,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
F-Zero X,89,88,1,85%,N64,Switch,1998,2024,,4,Finished,,No,Nintendo,Nintendo,F-Zero,Vehicle,Racing,Arcade,,,,
Batman Arkham Asylum,89,92,-3,85%,"X360, PS3, PC",PS5,2009,2023,,8,Finished,1,Yes,Warner Bros,Rocksteady,Batman,Third person,Action-adventure,"Story-driven, action, superhero",,76,2016,
Tetris,89,90,-1,85%,GB,Switch,1989,2023,,2,Finished,,No,Nintendo,Nintendo,Tetris,Overview,Puzzle,,,,,
Horizon Forbidden West,89,88,1,85%,"PS4, PS5",PS5,2022,2022,2023,52,Extra,1,Yes,Sony,Guerrilla Games,Horizon,Third person,Action-RPG,"Open-world, platforming, story-driven",,,,
A Short Hike,89,87,2,85%,PC,PC,2019,2022,,2,Extra,1,No,Indie,adamgryu,A Short Hike,Third person,Adventure,"Open-world, exploration",,,,
Bayonetta 2,89,91,-2,85%,WiiU,Switch,2014,2022,,8,Finished,1,No,Nintendo,Platinum Games,Bayonetta,Third person,Action,"Hack and slash, linear",,90,2018,
Ratchet & Clank: Rift Apart,89,88,1,85%,PS5,PS5,2021,2021,,15,One-hundred,1,No,Sony,Insomniac,Ratchet & Clank,Third person,Action-platformer,Story-driven,,,,
Psychonauts 2,89,89,0,85%,"XBS,PC,XB1,PS4",XBS,2021,2021,,13,Finished,1,No,Microsoft,Double Fine,Psychonauts,Third person,Platformer,Puzzles,,,,
Ori and The Will of the Wisps,89,90,-1,85%,"PC,XB1",PC,2020,2021,,11,Finished,1,No,Microsoft,Moon Studios,Ori,2D,Metroidvania,"Platformer, action",,,,
Halo 3,89,94,-5,85%,X360,PC,2007,2020,2024,15,Finished,2,No,Microsoft,Bungie,Halo,First person,Shooter,"Linear, multiplayer",,,,
Tetris Effect,89,89,0,85%,PS4,PS4,2018,2018,,11,Finished,,No,Enhance Games,"Monstars, Resonairs",Tetris,Overview,Puzzle,Rythm,,,,
Super Smash Bros. Ultimate,89,93,-4,85%,Switch,Switch,2018,2018,,43,Finished,1,No,Nintendo,Sora ltd.,Super Smash Bros.,2D,Fighting,Platforming,,,,
Forza 4,89,91,-2,85%,X360,X360,2011,2013,,30,Finished,,No,Microsoft,Turn 10 studios,Forza,Vehicle,Racing,Simcade,,,,
Civilization V,89,90,-1,85%,PC,PC,2010,2013,"2014, 2015, 2016",511,Extra,,Yes,2K Games,Firaxis,Civilization,Overview,Strategy,Turn-based,,,,
Jak and Daxter: The Precursor Legacy,88,90,-2,82%,PS2,PS5,2001,2024,,8,Extra,1,No,Sony,Naughty Dog,Jak and Daxter,Third person,Platformer,Collectathon,,81,2012,
Lies of P,88,82,6,82%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,29,Extra,1,No,Indie,Neowiz Games,Lies of P,Third person,Soulslike,Action-RPG,,,,
Donkey Kong Country 2: Diddy Kong's Quest,88,90,-2,82%,SNES,Switch,1995,2023,,4,Finished,1,Yes,Nintendo,Rare,Donkey Kong,2D,Platformer,,,,,
Vampire Survivors,88,87,1,82%,PC,PC,2022,2022,2023,33,Extra,1,No,Indie,poncle,Vampire Survivors,Top down,Roguelike,Bullet-heaven,,,,
Gran Turismo 7,88,87,1,82%,"PS4, PS5",PS5,2022,2022,2023,115,Extra,,Yes,Sony,Polyphony Digital,Gran Turismo,Vehicle,Racing,Sim,82,,,
Death's Door,88,88,0,82%,"PC,XB1,XBS",PC,2021,2021,,7,Finished,1,No,Devolver Digital,Acid Nerve,Death's Door,Top down,Metroidvania,"Hack and slash, soulslike",,,,
Marvel's Spider-Man Miles Morales,88,85,3,82%,"PS4, PS5",PS4,2020,2020,2023,26,One-hundred,2,No,Sony,Insomniac,Marvel's Spider-Man,Third person,Action-adventure,"Story-driven, open-world, superhero, platforming",,,,
Rise of the Tomb Raider ,88,86,2,82%,XB1,PS4,2015,2020,,26,Finished,1,No,Square Enix,Crystal Dynamics,Tomb Raider,Third person,Cover-shooter,"Story-driven, platforming, puzzles",,,,
Astral Chain,88,87,1,82%,Switch,Switch,2019,2019,,22,Finished,1,No,Nintendo,Platinum Games,Astral Chain,Third person,Action,"Hack and slash, JRPG",,,,
Divinity Original Sin 2,88,93,-5,82%,PC,PC,2017,2017,2018,91,Finished,1,No,Indie,Larian studios,Divinity Original Sin,Top down,RPG,Turn-based,,,,
Crash Bandicoot 2: Cortex Strikes Back,88,89,-1,82%,PS1,PS4,1997,2017,,7,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,Third person,Platformer,,,80,2017,Toys for Bob
Assassin's Creed IV Black Flag,88,83,5,82%,PS4,PS4,2013,2013,2014,111,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Action-adventure,"Stealth, open-world, platforming",,,,
Borderlands 2,88,89,-1,82%,X360,X360,2012,2013,,50,Finished,1,No,2K Games,Gearbox,Borderlands,First person,Looter-shooter,"Open-world, action-rpg, looter",,,,
Diablo 3,88,88,0,82%,PC,PC,2012,2012,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2023",1360,One-hundred,,Yes,Activision-Blizzard,Blizzard,Diablo,Top down,Dungeon crawler,"Action-RPG, hack and slash, looter",80,,,
Call of Duty Black Ops,88,88,0,82%,"PS3, X360, PC",PS3,2010,2010,2011,400,Extra,1,Yes,Activision-Blizzard,Treyarch,Call of Duty,First person,Shooter,"Multiplayer, linear",,,,
Mario Kart Wii,88,82,6,82%,Wii,Wii,2008,2008,"2009,2010,2011",250,One-hundred,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Helldivers 2,87,83,4,79%,"PC, PS5",PC,2024,2024,,32,Finished,,No,Sony,Arrowhead Game Studios,Helldivers,Third person,Shooter,"Multiplayer (co-op), action",,,,
Sunset Overdrive,87,83,4,79%,XB1,XBS,2014,2024,,12,Extra,1,No,Microsoft,Insomniac,Sunset Overdrive,Third person,Action-platformer,"Shooter, platforming, open-world",,,,
Rogue Legacy 2,87,89,-2,79%,"PC, XB1, XBS",PC,2022,2022,,14,Finished,1,Yes,Indie,Cellar Door Games,Rogue Legacy,2D,Roguelike,"Platformer, metroidvania",,,,
Persona 5,87,94,-7,79%,PS4,PS5,2017,2021,,57,Dropped,0,No,Atlus,P-Studio,Persona,Third person,JRPG,"Monster collecting, story-driven, turn-based",,,,
Super Mario 3D World,87,93,-6,79%,WiiU,Switch,2013,2021,,14,Extra,1,Yes,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,Collectathon,,89,2021,
F1 2020,87,88,-1,79%,"PS4, XB1, PC",PS4,2020,2020,2021,128,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, simulation, sports",,,,
Animal Crossing New Horizons,87,90,-3,79%,Switch,Switch,2020,2020,2021,45,Finished,1,Yes,Nintendo,Nintendo,Animal Crossing,Top down,Simulation,"Social, farming",,,,
Halo 2,87,95,-8,79%,XBOX,PC,2004,2020,,10,Finished,1,No,Microsoft,Bungie,Halo,First person,Shooter,"Linear, multiplayer",,,,
Devil May Cry 5,87,88,-1,79%,"PS4,XB1,PC",PC,2019,2019,,9,Finished,1,No,Capcom,Capcom,Devil May Cry,Third person,Action,"Hack and slash, story-driven, linear",,,,
Titanfall 2,87,87,0,79%,"PS4,XB1,PC",PS4,2016,2019,,5,Finished,1,No,EA,Respawn,Titanfall,First person,Shooter,"Linear, action, multiplayer",,,,
Crash Team Racing,87,88,-1,79%,PS,PS4,1999,2019,,28,Finished,1,No,Activision-Blizzard,Naughty Dog,Crash Bandicoot,Vehicle,Racing,Kart,,83,2019,Beenox
Crash Bandicoot 3: Warped,87,91,-4,79%,PS1,PS4,1998,2017,,7,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,Third person,Platformer,,,80,2017,Toys for Bob
Civilization VI,87,88,-1,79%,PC,PC,2016,2016,"2022, 2023, 2024",58,Finished,,Yes,2K Games,Firaxis,Civilization,Top down,Strategy,Turn-based,86,,,
Cities Skylines,87,85,2,79%,PC,PC,2015,2015,"2016, 2019, 2020, 2021, 2023",366,Extra,,Yes,Paradox Interactive,Colossal Order,Cities Skylines,Overview,Simulation,City-building,83,,,
Pokemon White,87,87,0,79%,DS,DS,2010,2011,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Gran Turismo 2,87,93,-6,79%,PS,PS,1999,2004,,10,Tried,,No,Sony,Polyphony Digital,Gran Turismo,Vehicle,Racing,Sim,,,,
Super Mario 3D Land,86,90,-4,76%,3DS,3DS,2011,2024,,6,Finished,1,No,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,,,,,
Star Wars Jedi Survivor,86,84,2,76%,"PC, PS5, XBS",PS5,2023,2023,,23,Finished,1,No,EA,Respawn,Star Wars,Third person,Action-adventure,"Soulslike, platforming, exploration, story-driven",,,,
Donkey Kong Country,86,93,-7,76%,SNES,Switch,1994,2023,,2,Finished,1,Yes,Nintendo,Rare,Donkey Kong,2D,Platformer,,,,,
Stray,86,84,2,76%,"PS4, PS5, PC",PS5,2022,2022,,5,Finished,1,No,Annapurna,BlueTwelve Studios,Stray,Third person,Adventure,"Story-driven, puzzles, linear",,,,
OlliOlli World,86,86,0,76%,"PS4, XB1, PC, Switch",PS5,2022,2022,,6,Finished,1,No,Private Division,roll7,OlliOlli,2D,Platformer,Sports (skate),,,,
Guardians of the Galaxy,86,82,4,76%,"PS5,PS4,XB1,XBS,PC,Switch",PS5,2021,2021,,16,Finished,1,No,Square Enix,Eidos Montreal,Guardians of the Galaxy,Third person,Action-adventure,"Linear, story-driven, shooter",,,,
Dead Cells,86,89,-3,76%,"PC,PS4,XB1,Switch",XBS,2018,2021,,3,Tried,0,No,Indie,Motion Twin,Dead Cells,2D,Roguelike,"Platforming, metroidvania",,,,
Crosscode,86,86,0,76%,PC,PC,2018,2020,,43,Finished,1,No,Indie,Radical Fish Games,Crosscode,Top down,Action-RPG,"Puzzles, platforming",,,,
Tales From the Borderlands,86,86,0,76%,PS4,PS4,2014,2017,,6,One-hundred,1,No,2K Games,Telltale,Borderlands,Third person,Interactive Story,"Story-driven, linear",,,,
Journey,86,92,-6,76%,PS3,PS4,2012,2016,,2,Finished,1,No,Annapurna,Thatgamecompany,Journey,Third person,Adventure,Linear,,,,
Transistor,86,83,3,76%,PS4,PS4,2014,2014,,16,One-hundred,1,No,Indie,Supergiant,Transistor,Top down,Action-RPG,"Hack and slash, story-driven",,,,
Minecraft,86,93,-7,76%,PC,PC,2011,2012,"2013, 2015, 2017, 2018, 2019, 2020",1100,One-hundred,,Yes,Microsoft,Mojang,Minecraft,First person,Sandbox,"Open-world, exploration, survival",,,,
Transport Tycoon,86,85,1,76%,PC,PC,1994,2012,"2013, 2014, 2015, 2017, 2019, 2021, 2023",100,Extra,,Yes,Indie,Chris Sawyer,Transport Tycoon,Overview,Simulation,Strategy,,85,2004,
Dragon Age 2,86,79,7,76%,"X360, PS3, PC",PS3,2011,2011,,90,Extra,2,No,EA,BioWare,Dragon Age,Third person,Action-RPG,"Hack and slash, story-driven",,,,
Kunitsu-Gami: Path of the Goddess,85,82,3,74%,"PC, XBS, PS5, XB1, PS4",PC,2024,2024,,,,,No,Capcom,Capcom,Kunitsu-Gami,Third person,Strategy,"Action, hack and slash",,,,
Super Mario Kart,85,94,-9,74%,SNES,Switch,1992,2024,,2,Finished,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Aces and Adventures,85,84,1,74%,PC,PC,2023,2023,,15,Finished,,No,Yogscast Games,Triple.B.Titles,Aces and Adventures,Overview,Strategy,"Card, roguelike",,,,
Gears of War,85,94,-9,74%,X360,XBS,2006,2023,,6,Finished,1,No,Microsoft,Epic,Gears,Third person,Cover-shooter,"Linear, story-driven",,82,2015,
The Legend of Zelda: Ocarina of Time,85,99,-14,74%,N64,3DS,1998,2023,,14,Dropped,0,No,Nintendo,Nintendo,The Legend of Zelda,Third person,Action-adventure,"Exploration, puzzles",,94,2011,
Neon White,85,89,-4,74%,"PC, Switch",PC,2022,2022,,10,Finished,1,No,Annapurna,Angel Matrix,Neon White,First person,Action,"Platforming, puzzles",,,,
Unsighted,85,85,0,74%,"Switch, XB1, PS4, PC",XBS,2021,2022,,11,Finished,1,No,Humble Games,Pixel Punk Studio,Unsighted,Top down,Metroidvania,Hack and slash,,,,
Batman Arkham Knight,85,87,-2,74%,PS4,PS4,2015,2015,2023,46,Finished,2,No,Warner Bros,Rocksteady,Batman,Third person,Action-adventure,"Open-world, superhero, platforming",,,,
Uncharted Drake's Fortune,85,88,-3,74%,PS3,PS4,2007,2015,,10,Finished,1,No,Sony,Naughty Dog,Uncharted,Third person,Cover-shooter,"Story-driven, action, linear, puzzles, platforming",,86,2015,
Tearaway,85,87,-2,74%,Vita,Vita,2013,2014,,8,Finished,1,No,Sony,Media Molecule,Tearaway,Third person,Platformer,,,,,
Mario Kart 7,85,85,0,74%,3DS,3DS,2011,2012,,30,Finished,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Dragon Age Origins,85,91,-6,74%,"PC, PS3, X360",PS3,2009,2010,,20,Dropped,0,No,EA,BioWare,Dragon Age,Third person,RPG,Story-driven,,,,
Pokemon Diamond,85,85,0,74%,DS,DS,2006,2009,,70,Extra,3,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Football Manager 2008,85,86,-1,74%,PC,PC,2007,2008,2009,150,Extra,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
